word,text
khĕi dơdrơ̆u,khĕi dơdrơ̆u
khĕi tơpơh,khĕi tơpơh
khĕi tơhngam,khĕi tơhngam
khĕi sĭn,khĕi sĭn
khĕi minh jĭt,khĕi minh jĭt
khĕi minh jĭt minh,khĕi minh jĭt minh
khĕi minh jĭt 'bal,khĕi minh jĭt 'bal
tơpơh nar,tơpơh nar
'long,'long
nhĕt,nhĕt
hla,hla
nhĕt râm,nhĕt râm
pơ kao,pơ kao
riêh,riêh
"miêu, plĕi","miêu, plĕi"
gĕl,gĕl
akău,akău
tơ'bra,tơ'bra
wêch 'long,wêch 'long
tơm 'long,tơm 'long
bôp 'long,bôp 'long
kơtă 'long,kơtă 'long
pit,pit
yŏr,yŏr
amông pit,amông pit
blưk pit,blưk pit
plĕi pit,plĕi pit
pơnang,pơnang
amông pơnang,amông pơnang
plĕi pơnang,plĕi pơnang
glơng pơnang,glơng pơnang
pơ-ak pơnang,pơ-ak pơnang
lơ-u,lơ-u
amông lơ-u,amông lơ-u
plĕi lơ-u,plĕi lơ-u
pơ-ak lơ-u,pơ-ak lơ-u
glơng lơ-u,glơng lơ-u
đak lơ-u,đak lơ-u
tơneh,tơneh
kơtau,kơtau
hre,hre
kram,kram
hơ-iơl,hơ-iơl
hơ de,hơ de
tơ'băng,tơ'băng
mơ̆u,mơ̆u
'long kơ su,'long kơ su
Bông gong,Bông gong
,
long bri,long bri
kafê,kafê
thuôk hla,thuôk hla
yuh ŭnh,yuh ŭnh
kơmơt,kơmơt
ba,ba
ba nêp,ba nêp
phe 'ba 'yĕ,phe 'ba 'yĕ
hơ 'bo,hơ 'bo
'mum ngô,'mum ngô
mum trâu,mum trâu
củ mỳ,củ mỳ
puôl,puôl
puôl gôh,puôl gôh
puôl 'bak,puôl 'bak
tơ'lôp,tơ'lôp
tơyăn,tơyăn
tuih (goh),tuih (goh)
tuih pra,tuih pra
đau phung,đau phung
tuh duôih,tuh duôih
hla 'long,hla 'long
hla anpuôn,hla anpuôn
hla kai,hla kai
hla kai a pôm,hla kai a pôm
hla muh nhŭng,hla muh nhŭng
hla yă riêng,hla yă riêng
ich brưng,ich brưng
pơ kao gôh,pơ kao gôh
pơ kao truôl,pơ kao truôl
đah,đah
hon,hon
xê rôh bơ kao,xê rôh bơ kao
kơ tăn,kơ tăn
đum,đum
kơsĕ,kơsĕ
sem,sem
sŏk,sŏk
tiêng,tiêng
chơkung,chơkung
sem bri,sem bri
"kơchôp, kơniêh","kơchôp, kơniêh"
ake,ake
tơ tŭh,tơ tŭh
kơpô,kơpô
kơpô kon,kơpô kon
kơpô klo,kơpô klo
kơpô akăn,kơpô akăn
lơmo,lơmo
"chĕp, lơmo kon","chĕp, lơmo kon"
lơmo klo,lơmo klo
lơmo akăn,lơmo akăn
kŏ,kŏ
kŏ kon,kŏ kon
kŏ akăn,kŏ akăn
kŏ klo,kŏ klo
kŏ kơmuôl,kŏ kơmuôl
kuôl,kuôl
Nhŭng,Nhŭng
Nhŭng grŏnh,Nhŭng grŏnh
Nhŭng kon,Nhŭng kon
Nhŭng kơho,Nhŭng kơho
chơ ke,chơ ke
yĕr,yĕr
yĕr kon,yĕr kon
yĕr yŏng,yĕr yŏng
yĕr tơ'mông,yĕr tơ'mông
yĕr bri,yĕr bri
kriêu,kriêu
yĕr kriêu,yĕr kriêu
ada,ada
ada kon,ada kon
ada tơ'mông,ada tơ'mông
ada yŏng,ada yŏng
kơne,kơne
bơdung,bơdung
đŏk,đŏk
đŏk gle,đŏk gle
juôi,juôi
jĭl,jĭl
ruôih,ruôih
kơ dŭ ruôih,kơ dŭ ruôih
bơla ruôih,bơla ruôih
bok kla pơhum,bok kla pơhum
akal 'bok kla pơhum,akal 'bok kla pơhum
chơkơ̆u,chơkơ̆u
ka,ka
bơ,bơ
chơ kanh,chơ kanh
ka rô,ka rô
bih,bih
klăn,klăn
"muôl, jơliêng","muôl, jơliêng"
wal,wal
xi,xi
roi,roi
chơ hmĕch,chơ hmĕch
ong,ong
xut kơ drot,xut kơ drot
tơ pu ong,tơ pu ong
nhă pơlai,nhă pơlai
jơdrông,jơdrông
hmuôch,hmuôch
kơtiêl,kơtiêl
yă kŏch,yă kŏch
lep blong,lep blong
lep blong,lep blong
kơ̆l,kơ̆l
kơdrơ,kơdrơ
kliêng,kliêng
măt,măt
muh,muh
đon,đon
bơ̆l/ 'bơ̆r,bơ̆l/ 'bơ̆r
trơi 'bŏi,trơi 'bŏi
sơnĕnh,sơnĕnh
kang,kang
"sŏk kang, sŏk miêm","sŏk kang, sŏk miêm"
sŏk kơ̆l,sŏk kơ̆l
ako,ako
kong koi,kong koi
sơhngliêng,sơhngliêng
pơlĕch,pơlĕch
kơtơh,kơtơh
toh,toh
kơdŭ,kơdŭ
bơ tâu,bơ tâu
bơ nĕi,bơ nĕi
klak,klak
klŏk,klŏk
plĕi nưih,plĕi nưih
klak,klak
klơm,klơm
kơting kơdŭ,kơting kơdŭ
kơting jơmil,kơting jơmil
tĕi,tĕi
akŏng ti,akŏng ti
tơpang ti,tơpang ti
anglău ti,anglău ti
jưng,jưng
blu,blu
kutăng/kơtăng,kutăng/kơtăng
plĕi puôih,plĕi puôih
tơpang jưng,tơpang jưng
anglău jưng,anglău jưng
kơnol jưng,kơnol jưng
pham,pham
kơting,kơting
akal,akal
sŏk,sŏk
asĕch,asĕch
lơmă,lơmă
đak măt,đak măt
đak khai,đak khai
đak chơ-uh,đak chơ-uh
đak toh,đak toh
đak sung,đak sung
ich,ich
huôt,huôt
kơtơ̆ng,kơtơ̆ng
"ngŏ, hnhĕi","ngŏ, hnhĕi"
"akhan/khan, tơja , khan/akhan, pơđam","akhan/khan, tơja , khan/akhan, pơđam"
dĕk,dĕk
nhĭm,nhĭm
sa,sa
et,et
suai,suai
hăk,hăk
kơsoh kơsoh,kơsoh kơsoh
hut,hut
chro đon,chro đon
"alê̆/lê̆, lễ/ alễ","alê̆/lê̆, lễ/ alễ"
yap,yap
yŭ,yŭ
"moih, wă, wă","moih, wă, wă"
wă,wă
areh,areh
"bui, hyôk , pui","bui, hyôk , pui"
bich,bich
atau,atau
uĕi,uĕi
"bĕ , kih , năm","bĕ , kih , năm"
"tơkan , truh","tơkan , truh"
"wih, sưt, priêu","wih, sưt, priêu"
găh,găh
kơdơ̆u,kơdơ̆u
glơi,glơi
"đơng , gŏ","đơng , gŏ"
krăm,krăm
"hniễ, jơră","hniễ, jơră"
"dui , hyot, dui , săng chơkep","dui , hyot, dui , săng chơkep"
pang,pang
huăng,huăng
ăn,ăn
yŏk,yŏk
nhau,nhau
pih,pih
"chăI , pah","chăI , pah"
"chô̆, lơnguach","chô̆, lơnguach"
"sut , trang, long trang","sut , trang, long trang"
sut,sut
tơmo,tơmo
koh,koh
"tŏm , tơ̆m","tŏm , tơ̆m"
sil,sil
kaĭ,kaĭ
blŏck,blŏck
mĕt,mĕt
pơtăm,pơtăm
rai,rai
tă,tă
pơtăm 'ba,pơtăm 'ba
kăt,kăt
chruh đak,chruh đak
chong sraih,chong sraih
"hleh , kơsep","hleh , kơsep"
duônh,duônh
rôp,rôp
"druh , tiê̆","druh , tiê̆"
rong,rong
pơtho akhan,pơtho akhan
a kâu bĭ hyôk,a kâu bĭ hyôk
koe,koe
tor,tor
"kơmlo, lơ̆u","kơmlo, lơ̆u"
klik,klik
ĕh alŏng,ĕh alŏng
,
koe,koe
tơ gŭ,tơ gŭ
bơlŏ,bơlŏ
"grŭn, bơlŏ","grŭn, bơlŏ"
jĭ kơ̆l,jĭ kơ̆l
jĭ măt,jĭ măt
jĭ sơnĕnh,jĭ sơnĕnh
jĭ klak,jĭ klak
hiên,hiên
hiên đuh tơsoh,hiên đuh tơsoh
tơ'bŏch,tơ'bŏch
kren,kren
yoe,yoe
,
tơ 'boch,tơ 'boch
'bâm,'bâm
ĕh,ĕh
hŏch,hŏch
bok bơgang,bok bơgang
bơgang,bơgang
hming ji,hming ji
kơ laih jĭ,kơ laih jĭ
chơh ngâm pram,chơh ngâm pram
arih,arih
tơhnglo,tơhnglo
kơ dyŏng,kơ dyŏng
bơngai,bơngai
bok,bok
yă,yă
bok gah tơhnglo,bok gah tơhnglo
yă gah tơhnglo,yă gah tơhnglo
bok gah kơdiŏng,bok gah kơdiŏng
yă gah kơdiŏng,yă gah kơdiŏng
bă,bă
mĭ,mĭ
kon tơhnglo,kon tơhnglo
kon kơdiŏng,kon kơdiŏng
kơdiŏng,kơdiŏng
tơhnglo,tơhnglo
bơngai wă,bơngai wă
nhŏng,nhŏng
mai,mai
oh,oh
oh tơhnglo,oh tơhnglo
oh kơdiŏng,oh kơdiŏng
ŭnh hnam,ŭnh hnam
pơlĕi pơla,pơlĕi pơla
krung tơpanh,krung tơpanh
kră tơpanh,kră tơpanh
duch,duch
ma,ma
ma,ma
mih,mih
mon,mon
mon tơhnglo,mon tơhnglo
mon kơdiŏng,mon kơdiŏng
bă kơdiŏng,bă kơdiŏng
mĭ kơdiŏng,mĭ kơdiŏng
bă tơhnglo,bă tơhnglo
mĭ tơhnglo,mĭ tơhnglo
kon pơsau,kon pơsau
kon kơmăn,kon kơmăn
mĭ yăng,mĭ yăng
bă yăng,bă yăng
kơdiŏng đunh,kơdiŏng đunh
kơdiŏng 'nau,kơdiŏng 'nau
,
măt,măt
sơnăm,sơnăm
inh,inh
"hăp, hơ","hăp, hơ"
'nhŏng 'noh,'nhŏng 'noh
mai 'noh,mai 'noh
bok 'noh,bok 'noh
yă 'noh,yă 'noh
bân,bân
"e, ih","e, ih"
'nhŏng,'nhŏng
mai ,mai 
bok,bok
yă ,yă 
lu 'yĕm,lu 'yĕm
đe 'nhŏng,đe 'nhŏng
đe mai ,đe mai 
đe bok,đe bok
đe yă ,đe yă 
kăn hơ,kăn hơ
pơlĕi,pơlĕi
tơnŏk,tơnŏk
kơ ră pơ lei,kơ ră pơ lei
,
,
,
tơ nŭh,tơ nŭh
pơ drŏng,pơ drŏng
kon ti,kon ti
chă xin xa,chă xin xa
,
,
,
chơ̆,chơ̆
jên,jên
tơ 'nam,tơ 'nam
tơ lih,tơ lih
ruôt,ruôt
tĕch,tĕch
tơ jrŏnh ,tơ jrŏnh 
tơ jrăng,tơ jrăng
jơ nĕi chơt,jơ nĕi chơt
bơ hrăm răng,bơ hrăm răng
sră,sră
sră,sră
sră,sră
anăn,anăn
phao,phao
'buĭm phao,'buĭm phao
jĕi,jĕi
bĭ 'man,bĭ 'man
mơ nă,mơ nă
hnam kron,hnam kron
Yuôn,Yuôn
Pha ' lăng,Pha ' lăng
Bơ ngai Mi,Bơ ngai Mi
Bơ ngai Lao,Bơ ngai Lao
Bơ ngai Khơ me,Bơ ngai Khơ me
A pŭng,A pŭng
Tơ hring,Tơ hring
char,char
tĕh char,tĕh char
tơr tơ drong vă,tơr tơ drong vă
kơ kŭh,kơ kŭh
pơ hingol,pơ hingol
hnam kron pơ 'luôch,hnam kron pơ 'luôch
yŏng,yŏng
yang,yang
yă yang,yă yang
atơ̆u,atơ̆u
lêh lêm,lêh lêm
bơngai sơmah,bơngai sơmah
lêh lêm pơ ngai,lêh lêm pơ ngai
tŭk a tâu,tŭk a tâu
vĭch apĭnh,vĭch apĭnh
ŏng mai,ŏng mai
sơmah,sơmah
bơnga1 luôch,bơnga1 luôch
bŭ,bŭ
hlung atău,hlung atău
tŭk a tâu,tŭk a tâu
pơ tiê̆,pơ tiê̆
diêng,diêng
băng,băng
băng,băng
pro sơnĕnh,pro sơnĕnh
poh sơnĕnh,poh sơnĕnh
chĕo đon,chĕo đon
yă pơpơng đeh kon,yă pơpơng đeh kon
bơ ngai 'nao ơ̆i,bơ ngai 'nao ơ̆i
abĕn đing,abĕn đing
abĕn kuơ̆n,abĕn kuơ̆n
abĕn 'năr kơnă kơnơ̆l,abĕn 'năr kơnă kơnơ̆l
au đuôĭ ti,au đuôĭ ti
au kơđeh ti,au kơđeh ti
au lơ̆k,au lơ̆k
kơpen,kơpen
kơpen 'năr kơnă kơnơ̆l,kơpen 'năr kơnă kơnơ̆l
kuơ̆n kơđeh,kuơ̆n kơđeh
kuơ̆n đuô̆i,kuơ̆n đuô̆i
ako au,ako au
ti au,ti au
kơ vai ao,kơ vai ao
chơkơ̆u au,chơkơ̆u au
tơngliêng au,tơngliêng au
tơ 'nhai ao,tơ 'nhai ao
Pơ kâr,Pơ kâr
pơ kâr,pơ kâr
chê but kơ̆l,chê but kơ̆l
đuôn,đuôn
môk,môk
"kiêng, ruk","kiêng, ruk"
kong ti,kong ti
kong jưng,kong jưng
tơlĕi drơng ăn,tơlĕi drơng ăn
pơkau đon,pơkau đon
gŏp,gŏp
nhân ti,nhân ti
chơ khŏ,chơ khŏ
chơ khŏ trŭa,chơ khŏ trŭa
hnam đuôĭ,hnam đuôĭ
hnam pra,hnam pra
hnam tĕh,hnam tĕh
hnam sơlung atău,hnam sơlung atău
hmiêt hnam,hmiêt hnam
jrăng,jrăng
jrăng tơn,jrăng tơn
dih hnam,dih hnam
pơnil hnam,pơnil hnam
pơnil,pơnil
"măng, 'măng tơm","măng, 'măng tơm"
măng 'mok,măng 'mok
kơ tiêng hnam,kơ tiêng hnam
"măng cham, jung kung","măng cham, jung kung"
pra hnam,pra hnam
tơnơl hnam,tơnơl hnam
pra đak,pra đak
kung,kung
tơ nŏ,tơ nŏ
chơkŭp hnam,chơkŭp hnam
hnam tơnuh,hnam tơnuh
phong,phong
long tơmoi,long tơmoi
'bê mong đak,'bê mong đak
tơ nglang đak,tơ nglang đak
xum 'ba,xum 'ba
kŭ mir,kŭ mir
hnam đuôĭ,hnam đuôĭ
pơgal,pơgal
ban,ban
kơ dơ̆ oĕi,kơ dơ̆ oĕi
kơ tăng,kơ tăng
xĭm,xĭm
dâu,dâu
jrĕnh,jrĕnh
apoih,apoih
ba,ba
phe,phe
hơ'bo,hơ'bo
đâk,đâk
ngoh,ngoh
bu,bu
sa bơgê,sa bơgê
sa 'năr dưng,sa 'năr dưng
sa kơsơ̆,sa kơsơ̆
bĕng,bĕng
p khuôn,p khuôn
tơ jông,tơ jông
"đô sa , 'nhem sa, đô sa","đô sa , 'nhem sa, đô sa"
ka,ka
asĕch,asĕch
a xĕch nhŭng,a xĕch nhŭng
asĕch 'yĕr,asĕch 'yĕr
ơ̆p,ơ̆p
buh,buh
xau,xau
kŭ sum,kŭ sum
a drĕng,a drĕng
pơdal,pơdal
chơhlung,chơhlung
kơdĭm,kơdĭm
yuh ŭnh,yuh ŭnh
amrĕ,amrĕ
blăng,blăng
hla mơ̆u phu,hla mơ̆u phu
boh,boh
lơmă,lơmă
kuet xiêm,kuet xiêm
long ŭnh,long ŭnh
ŭnh,ŭnh
ŭnh sa,ŭnh sa
nhui,nhui
tơnuh,tơnuh
bok ich,bok ich
gŏ teh,gŏ teh
gŏ tơmăn,gŏ tơmăn
"gŏ ơ̆m , tơnŏ","gŏ ơ̆m , tơnŏ"
gŏ sĕng,gŏ sĕng
chen,chen
dia,dia
kơ noch,kơ noch
duô̆k,duô̆k
mơ̆m,mơ̆m
bưng,bưng
tơpal,tơpal
adrơ̆i,adrơ̆i
ge (sơdrô),ge (sơdrô)
sơdrô,sơdrô
triêng kram jai,triêng kram jai
buih sơdrô,buih sơdrô
đak tra,đak tra
đak truôl,đak truôl
hla blơ̆u,hla blơ̆u
thuôk hla,thuôk hla
kruôĭ 'ngam,kruôĭ 'ngam
pơ-ŏ,pơ-ŏ
pơnăt,pơnăt
kơchik,kơchik
pia mơkai,pia mơkai
plĕi bri,plĕi bri
pia đak,pia đak
pơm xa 'ba gao,pơm xa 'ba gao
kuôk,kuôk
kuôk,kuôk
hlak săng,hlak săng
tŏ wăng,tŏ wăng
kơ nưch,kơ nưch
long anong,long anong
tŏ chơneh,tŏ chơneh
anong,anong
tŏ kơdŏng,tŏ kơdŏng
tŏ aring,tŏ aring
tuaih,tuaih
tŏ jak,tŏ jak
tuaih,tuaih
tuaih,tuaih
huăt ka,huăt ka
jar,jar
nam jar,nam jar
jar lươ̆i,jar lươ̆i
pam,pam
pam,pam
xrok,xrok
tŏ kơchôp,tŏ kơchôp
dui kơchôp,dui kơchôp
pla asai,pla asai
asai ka,asai ka
thŏng,thŏng
chông,chông
pơm ren,pơm ren
tơmuh,tơmuh
gru ren,gru ren
ren,ren
pơm 'long,pơm 'long
bơ ngai pơm mŏk,bơ ngai pơm mŏk
tŏ 'ngot,tŏ 'ngot
ngot,ngot
phă,phă
phă,phă
đinh,đinh
pơ̆ng đinh,pơ̆ng đinh
blang ('long),blang ('long)
tŏ kơchôp,tŏ kơchôp
rong nhŭng 'yĕr,rong nhŭng 'yĕr
đơ̆k,đơ̆k
gơdron nhŭng,gơdron nhŭng
gơdron kơpô,gơdron kơpô
tanh brai,tanh brai
khĭng khŭng,khĭng khŭng
kơ tuôl brai,kơ tuôl brai
thuôk poh,thuôk poh
poh,poh
drŏng,drŏng
chă riêng a yô,chă riêng a yô
phau riêng,phau riêng
anăn tơngăng,anăn tơngăng
xrang,xrang
akap,akap
akap,akap
gru riêng,gru riêng
hnam mĕi,hnam mĕi
bơ ngan kông nhân,bơ ngan kông nhân
ŭnh điên,ŭnh điên
dâu,dâu
dâu hlin,dâu hlin
gre,gre
gre tang vang,gre tang vang
gre tơ reng,gre tơ reng
gre ô tô,gre ô tô
gre kơ pô dui,gre kơ pô dui
gre a xĕch dui,gre a xĕch dui
trong,trong
trong uôh,trong uôh
trong kơtă,trong kơtă
trong pơsăi,trong pơsăi
trong dak,trong dak
pơ̆k pêng,pơ̆k pêng
chơ hlăh buôn,chơ hlăh buôn
tău đak,tău đak
tơnŏk glơng,tơnŏk glơng
tơnŏk tơsĕnh,tơnŏk tơsĕnh
gre băr,gre băr
tơ rong gre băr,tơ rong gre băr
bơ ngai vâr gre,bơ ngai vâr gre
vâr,vâr
minh,minh
bal,bal
pêng,pêng
puôn,puôn
sơnăm,sơnăm
dơdrơ̆u,dơdrơ̆u
tơpơh,tơpơh
tơhngam,tơhngam
sĭn,sĭn
minh jĭt,minh jĭt
minh jĭt minh,minh jĭt minh
minh jĭt 'bal,minh jĭt 'bal
minh jĭt pêng,minh jĭt pêng
bal jĭt,bal jĭt
bal jĭt minh,bal jĭt minh
bal jĭt 'bal,bal jĭt 'bal
bal jĭt pêng,bal jĭt pêng
pêng jĭt,pêng jĭt
puôn jĭt,puôn jĭt
sơnăm jĭt,sơnăm jĭt
"minh hriêng, hriêng","minh hriêng, hriêng"
minh hriêng minh,minh hriêng minh
minh hriêng 'bal,minh hriêng 'bal
minh hriêng minh jĭt,minh hriêng minh jĭt
minh a bâu,minh a bâu
bar a bâu,bar a bâu
đí,đí
lư,lư
mĭnh a chô̆,mĭnh a chô̆
biê̆,biê̆
mă minh,mă minh
mă 'bal,mă 'bal
mă pêng,mă pêng
mă puôn,mă puôn
mă sơnăm,mă sơnăm
mă dơdrơ̆u,mă dơdrơ̆u
mă tơpơh,mă tơpơh
mă tơhngam,mă tơhngam
mă sĭn,mă sĭn
mă minh jĭt,mă minh jĭt
mă minh jĭt minh,mă minh jĭt minh
mă minh jĭt 'bal,mă minh jĭt 'bal
kơ̆l,kơ̆l
tuôch,tuôch
plaih,plaih
mĭnh plaih,mĭnh plaih
mĭnh găt,mĭnh găt
mĭnh chơ đa,mĭnh chơ đa
"grông , tih, grông","grông , tih, grông"
ken,ken
đuôĭ,đuôĭ
kơđeh,kơđeh
đuôĭ,đuôĭ
kơđeh,kơđeh
apôm,apôm
tơwĕch,tơwĕch
uôh,uôh
krâk a mrư̆h,krâk a mrư̆h
hơ'bơ̆l,hơ'bơ̆l
atĕng,atĕng
"să , wơ̆l","să , wơ̆l"
kơchiễ,kơchiễ
bak,bak
găm,găm
kơsĕ,kơsĕ
gôh,gôh
yưm,yưm
bia,bia
sriêng,sriêng
"hơnhuih, yôm","hơnhuih, yôm"
phu,phu
ngam,ngam
ăng,ăng
ôm,ôm
bŏ,bŏ
hŏnh,hŏnh
lĕng lŏng,lĕng lŏng
khĭ trôm,khĭ trôm
khăng,khăng
lơmek,lơmek
han,han
kut,kut
tơmăn,tơmăn
grêu grao,grêu grao
hyôk,hyôk
nau,nau
"đunh , kră","đunh , kră"
"tŏ , tơnŏ","tŏ , tơnŏ"
"tơ'ngiêt, lơngoh","tơ'ngiêt, lơngoh"
trăp,trăp
hơ-iơch,hơ-iơch
tơpăt,tơpăt
đŏng,đŏng
trŏ,trŏ
"bĭ trŏ , ploh, hmăng","bĭ trŏ , ploh, hmăng"
brữ,brữ
lưng,lưng
liêm,liêm
kră,kră
lốp,lốp
chơ đŏk,chơ đŏk
bơ ngai khĕo,bơ ngai khĕo
lơ mek thê̆,lơ mek thê̆
"biêh, kheŭ","biêh, kheŭ"
kuăng kuăng,kuăng kuăng
khĕ dêh,khĕ dêh
đon hrao,đon hrao
bơluk pơlŭk,bơluk pơlŭk
kơ 'nek,kơ 'nek
nơ nang,nơ nang
nưih,nưih
lêl,lêl
hlŏ,hlŏ
"jê̆, tơklep","jê̆, tơklep"
phai,phai
miêu,miêu
a drôl,a drôl
"đưng rĭng, đưng kơdŭ","đưng rĭng, đưng kơdŭ"
tơ lăm,tơ lăm
"gah agah, gloh, loi","gah agah, gloh, loi"
kơ pưng,kơ pưng
"ala, gah ala","ala, gah ala"
in,in
"kơdih, krăi , krăi, nai","kơdih, krăi , krăi, nai"
tơ-ơ̆u,tơ-ơ̆u
to nŏh,to nŏh
nơ̆u,nơ̆u
"noh, ơ̆i","noh, ơ̆i"
lơ như yơ,lơ như yơ
wơ̆i tơyơ,wơ̆i tơyơ
lơ̆m lĭ yơ,lơ̆m lĭ yơ
bu,bu
yưng,yưng
sơm,sơm
"adrĭng, sơm","adrĭng, sơm"
"kơtă , lơ̆m","kơtă , lơ̆m"
yuô,yuô
"tơ̆ng, mơtơ̆ng , yăh","tơ̆ng, mơtơ̆ng , yăh"
"lĭ như, lĭ yơ","lĭ như, lĭ yơ"
bĭ,bĭ
ơĭ,ơĭ
đim,đim
jŏh,jŏh
lĕi ră,lĕi ră
khĭ mŭn,khĭ mŭn
roi tơ drong kră xơ̆,roi tơ drong kră xơ̆
roi tơ drong pơ đâk,roi tơ drong pơ đâk
tơ drong chĭh tơ 'năh,tơ drong chĭh tơ 'năh
hơ 'mon,hơ 'mon
kon joh,kon joh
tơ ja đ̆,tơ ja đ̆
roi tơ drong dĕk,roi tơ drong dĕk
kră khan,kră khan
tơ mrŏ,tơ mrŏ
joh,joh
kơ dô̆ xoang,kơ dô̆ xoang
roi tơdrong,roi tơdrong
roi tơdrong,roi tơdrong
bơ ngai yoh,bơ ngai yoh
bơ ngai xoang,bơ ngai xoang
chinh,chinh
phông,phông
chân choa,chân choa
jơgơ̆i,jơgơ̆i
kơnho jơgơ̆i,kơnho jơgơ̆i
ken tư tŏ,ken tư tŏ
ken tư tŏ,ken tư tŏ
ken thuôl,ken thuôl
kêu,kêu
be,be
bơ ngai be gru,bơ ngai be gru
tranh pik,tranh pik
răp don,răp don
brưng gơleh,brưng gơleh
sĭt 'boi,sĭt 'boi
tanh,tanh
duônh,duônh
srĕ 'long,srĕ 'long
hnam trương,hnam trương
chư chih,chư chih
sơ̆p hla bơ-al,sơ̆p hla bơ-al
tơ̆p bơ-al,tơ̆p bơ-al
long chih,long chih
mư̆k,mư̆k
'long thươk,'long thươk
kơdơ̆,kơdơ̆
long hok,long hok
pơngai pơtho,pơngai pơtho
duch pơtho,duch pơtho
hok sinh,hok sinh
ma ken,ma ken
duch ken,duch ken
tơ drong hŏk,tơ drong hŏk
"pơtho , pơtơ̆p","pơtho , pơtơ̆p"
hok,hok
bơdiêu tơdrong,bơdiêu tơdrong
chŭ tơdrong,chŭ tơdrong
chơ hrong,chơ hrong
tơ jrŏk,tơ jrŏk
jĕi,jĕi
hơ vŏng,hơ vŏng
jĕi đĭ,jĕi đĭ
pơ ling,pơ ling
Rađio,Rađio
tivi,tivi
xer rơ ma,xer rơ ma
kơ đŏh thoi,kơ đŏh thoi
mĕt thơ,mĕt thơ
kơthơ,kơthơ
"hla bơ-al/ hla bơ-ar, pơsuh","hla bơ-al/ hla bơ-ar, pơsuh"
ang,ang
găm,găm
găm găm,găm găm
dêh găm,dêh găm
găm loi,găm loi
ken,ken
ken ken,ken ken
dêh ken,dêh ken
ken minh,ken minh
đunh,đunh
đunh đunh,đunh đunh
dêh đunh,dêh đunh
đunh minh,đunh minh
să,să
să să,să să
dêh să,dêh să
să minh,să minh
hnam,hnam
hnam 'măng,hnam 'măng
teh,teh
teh tơklah,teh tơklah
srơ̆p,srơ̆p
srơ̆p hlŭt,srơ̆p hlŭt
iêl,iêl
kuơ̆n au,kuơ̆n au
kuơ̆n kuơ̆n au au,kuơ̆n kuơ̆n au au
dĕk akhan,dĕk akhan
dĕk dĕk akhan akhan,dĕk dĕk akhan akhan
păl,păl
pơnal sem,pơnal sem
it,it
long jra,long jra
tanh,tanh
tơnanh kram,tơnanh kram
mŏm,mŏm
toh,toh
đô a xơn,đô a xơn
anăn,anăn
prah,prah
tơlĕi,tơlĕi
lơnguach,lơnguach
kơtăp,kơtăp
đeh,đeh
kon,kon
pơluôch,pơluôch
luôch,luôch
tơ nâu,tơ nâu
tơ nâu kơ pô pung,tơ nâu kơ pô pung
tep,tep
dơnŏ tep,dơnŏ tep
jương,jương
oĕi,oĕi
a nĭnh oĕi,a nĭnh oĕi
hon,hon
tơ 'mâng,tơ 'mâng
ich asong,ich asong
minh anong,minh anong
tơ xi,tơ xi
'bar tơ xi,'bar tơ xi
tanh brai,tanh brai
chê,chê
kơkŏch,kơkŏch
